SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
01-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-D Line","Green Line","Beaconsfield ","Passenger Wait Time",86.454347492,322.014898879
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Worcester Line",,,"Headway / Schedule Adherence",16.000000000,17.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-B Line","Green Line","Copley ","Passenger Wait Time",139.467282942,641.606026665
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Hawes Street ","Passenger Wait Time",37.628602609,93.433539158
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Washington Square ","Passenger Wait Time",70.807626587,230.458197406
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-E Line","Green Line","Longwood Medical Area ","Passenger Wait Time",156.071035239,358.714199529
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,101,OTH,,"Headway / Schedule Adherence",296.000000000,413.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,104,OTH,,"Headway / Schedule Adherence",166.000000000,255.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,117,KBR,,"Headway / Schedule Adherence",332.000000000,447.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,350,OTH,,"Headway / Schedule Adherence",203.000000000,314.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,354,OTH,,"Headway / Schedule Adherence",40.000000000,60.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,44,OTH,,"Headway / Schedule Adherence",280.000000000,526.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,52,OTH,,"Headway / Schedule Adherence",104.000000000,144.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,558,OTH,,"Headway / Schedule Adherence",24.000000000,32.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,60,OTH,,"Headway / Schedule Adherence",336.000000000,383.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,01,KBR,,"Headway / Schedule Adherence",500.000000000,694.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,100,OTH,,"Headway / Schedule Adherence",127.000000000,151.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,109,OTH,,"Headway / Schedule Adherence",181.000000000,284.000000000
